czas,isTof_1,isTof_2,isTof_3,isTof_4,islineS_1_Active,islineS_2_Active,islineS_3_Active,motor1_speed,motor2_speed,imuX,imuY
0,0,1,1,1,1,1,0,-80,-81,-3.49,-77.95
300,0,1,1,1,0,0,1,90,-4,80.85,-30.77
600,0,1,0,0,1,1,1,55,5,-93.29,-45.44
900,1,1,1,0,0,1,1,-90,90,77.95,-43.96
1200,1,1,1,0,0,0,0,-21,97,5.05,13.30
1500,0,0,1,1,1,1,1,-33,-100,38.84,-3.77
1800,1,1,1,0,0,0,1,28,69,-43.37,74.24
2100,0,0,0,1,0,0,1,37,-68,-10.03,-5.94
2400,1,1,1,0,1,0,0,60,-96,82.52,-6.88
2700,1,1,1,0,1,1,0,-67,28,46.33,37.98
3000,0,0,1,0,1,1,1,43,98,93.98,3.81
3300,1,1,1,1,1,1,1,29,-81,-27.32,2.24
3600,1,1,1,1,1,0,0,26,49,70.10,-19.15
3900,0,1,0,0,0,0,1,-73,58,86.21,-20.74
4200,1,0,0,1,1,1,0,70,89,16.87,70.02
4500,0,0,1,0,0,0,1,-10,-72,-6.37,-29.56
4800,1,1,0,1,1,0,0,73,19,-79.39,98.62
5100,1,0,1,1,0,0,1,-84,90,70.43,51.92
5400,0,0,0,1,0,1,1,98,-46,15.83,49.02
5700,1,1,1,0,0,0,1,74,-63,97.90,25.84
6000,0,0,0,0,1,0,1,97,72,70.87,-51.99
6300,1,0,1,0,1,1,0,-48,33,-93.84,-97.67
6600,1,1,0,1,1,1,0,5,-32,-90.49,49.33
6900,1,1,0,0,0,0,0,-35,-16,-84.40,-54.11
7200,0,0,1,1,1,0,0,4,-80,81.60,60.44
7500,0,1,0,1,1,1,1,-2,88,75.10,90.70
7800,0,1,1,0,0,0,1,-32,66,-42.62,34.15
8100,1,1,1,0,1,0,0,-79,54,51.96,-88.04
8400,1,1,1,0,1,1,0,-62,-65,45.20,49.08
8700,0,1,1,1,1,0,0,-11,-55,-42.65,-82.80
9000,0,0,0,0,1,1,1,92,-81,-26.72,32.58
9300,1,0,0,0,0,0,0,93,-63,42.74,17.34
9600,1,0,1,0,1,1,1,-91,-90,-66.14,2.00
9900,0,0,0,1,1,1,0,-58,27,-68.97,-47.99
10200,1,1,1,1,0,1,0,55,-58,-85.08,91.88
10500,1,1,0,1,1,0,1,-7,-71,65.81,-75.23
10800,0,0,0,1,1,0,1,77,-61,39.33,-25.52
11100,0,0,0,0,0,0,1,7,9,-71.87,-76.43
11400,1,1,0,1,0,0,0,-86,-43,89.32,-59.19
11700,1,0,1,0,0,1,1,-82,38,20.28,-92.13
12000,1,0,1,0,0,1,1,-37,-75,-23.53,61.97
12300,0,1,0,1,0,1,1,-35,-42,-83.79,-19.69
12600,0,0,0,0,1,0,1,-33,6,70.97,-44.66
12900,0,0,1,1,0,1,1,-87,38,58.96,58.49
13200,0,1,0,1,1,1,0,-74,-96,-7.42,40.26
13500,0,0,0,1,0,1,0,-76,-16,39.72,-99.93
13800,1,0,1,1,1,1,1,10,-50,-33.14,8.74
14100,1,0,0,1,1,0,1,-63,65,-57.97,-98.84
14400,0,1,0,1,1,1,1,100,-72,-52.61,29.58
14700,0,1,0,1,0,1,0,28,-35,-31.94,29.24
15000,0,0,0,1,1,1,0,-51,-69,6.75,-51.33
15300,0,1,0,0,0,1,0,-36,-10,21.95,-78.98
15600,0,0,1,0,0,1,0,-8,-11,15.81,-34.74
15900,0,1,1,1,1,0,1,54,-1,53.82,57.22
16200,0,0,1,1,0,1,0,-27,-5,-3.71,21.24
16500,0,0,0,0,0,0,0,66,27,-32.18,89.64
16800,1,1,1,0,0,1,0,-59,-37,-30.97,-10.03
17100,0,1,0,0,1,1,1,59,100,-42.89,66.97
17400,0,1,1,1,0,0,1,15,24,92.25,-28.29
17700,0,0,1,1,0,1,1,96,-42,-62.51,-95.02
18000,1,0,1,1,1,1,1,-86,-66,10.04,-35.52
18300,0,1,1,1,0,1,1,47,47,-32.90,51.64
18600,0,1,0,1,0,1,0,79,-52,-61.48,3.82
18900,0,1,1,0,1,1,0,-21,5,-41.05,37.58
19200,1,1,0,0,1,0,1,-96,-93,37.22,31.77
19500,1,0,0,1,1,1,0,-60,-94,-91.30,55.07
19800,0,1,1,1,1,1,1,11,79,-19.00,64.46
20100,1,0,0,1,1,1,0,-89,-14,-56.78,8.00
20400,1,1,0,1,1,1,0,8,7,-76.92,76.30
20700,1,0,1,0,0,0,0,98,27,-61.48,82.49
