czas,isTof_1,isTof_2,isTof_3,isTof_4,islineS_1_Active,islineS_2_Active,islineS_3_Active,motor1_speed,motor2_speed,imuX,imuY
0,0,0,0,1,0,0,1,-88,-7,30.75,-41.46
500,0,0,1,0,1,0,1,-88,88,27.59,3.14
1000,0,0,0,0,0,0,1,-54,-7,-62.45,-11.78
1500,1,0,0,1,0,1,0,-69,-4,10.08,-78.32
2000,0,0,1,0,1,0,1,83,-92,3.64,-53.49
2500,1,0,1,1,1,1,1,-71,57,76.46,-77.53
3000,1,0,0,1,0,0,1,79,-91,26.41,-15.10
3500,0,0,1,1,1,0,0,60,1,-7.83,-39.31
4000,1,1,1,0,1,0,0,-81,-91,-22.21,17.19
4500,0,0,1,0,0,0,1,28,77,24.74,-14.08
5000,1,1,1,0,0,0,1,-84,82,-88.21,-48.89
5500,0,1,0,1,1,1,1,-17,12,-27.04,85.53
6000,0,0,1,0,1,0,0,-46,-100,-75.49,-1.57
6500,0,0,0,0,0,1,1,-17,-98,40.15,26.30
7000,1,0,1,0,1,0,0,21,100,86.98,-64.73
