czas,isTof_1,isTof_2,isTof_3,isTof_4,islineS_1_Active,islineS_2_Active,islineS_3_Active,motor1_speed,motor2_speed,imuX,imuY
0,0,0,1,1,1,1,0,-22,47,63.58,4.83
750,1,1,0,0,0,0,0,-4,-74,-2.59,-21.86
1500,0,0,0,1,1,1,0,-1,-12,-90.26,-85.34
2250,1,1,1,0,1,0,0,-19,32,76.82,88.41
3000,1,1,0,1,0,0,1,41,97,0.17,38.41
3750,0,0,0,1,1,0,1,37,93,-76.34,-39.29
4500,0,0,0,0,1,0,0,79,90,12.80,-11.43
5250,0,1,1,0,1,1,1,56,-75,-66.00,1.08
6000,1,0,1,0,1,0,0,-83,10,69.11,38.67
6750,1,0,1,1,1,0,1,-5,89,36.67,-52.82
7500,1,1,0,0,0,0,0,-33,51,-9.29,28.87
8250,0,0,1,0,1,1,1,25,68,74.52,-72.69
9000,0,0,1,1,0,1,1,2,-21,14.79,71.74
9750,0,1,1,1,1,0,0,12,45,-74.20,-30.97
10500,0,0,1,0,0,1,1,-87,90,78.01,43.05
11250,0,1,1,1,0,1,0,48,-6,-56.35,-85.31
12000,1,0,0,0,0,1,1,-2,39,92.85,-63.69
12750,1,0,0,1,1,1,0,-40,68,8.33,0.47
13500,1,1,1,1,1,0,1,-48,21,81.33,-83.57
14250,1,0,0,0,1,1,1,-73,-45,22.36,-85.03
15000,0,0,1,1,0,0,1,77,66,-59.27,-36.08
15750,1,1,1,0,0,0,0,86,-7,95.07,66.04
16500,0,0,1,1,1,1,1,-38,39,59.66,72.02
17250,0,1,0,1,1,1,1,8,41,33.44,-52.00
18000,0,1,0,0,1,1,1,83,-51,96.59,19.30
18750,0,1,1,0,1,1,1,-10,74,-36.74,62.30
19500,1,0,0,1,0,1,0,89,68,41.56,-29.57
20250,0,1,1,0,1,0,1,-86,1,2.13,-61.90
21000,0,1,1,0,0,0,0,-50,69,24.69,76.50
21750,0,1,0,1,0,0,0,-72,36,63.35,-36.74
