czas,isTof_1,isTof_2,isTof_3,isTof_4,islineS_1_Active,islineS_2_Active,islineS_3_Active,motor1_speed,motor2_speed,imuX,imuY
0,1,1,1,1,1,0,1,-36,-88,-49.11,0.25
20,1,0,0,0,1,0,0,-16,32,63.64,74.88
40,0,0,1,1,0,1,0,51,-84,74.35,-50.24
60,0,0,1,0,1,0,0,47,-21,-16.12,-68.80
80,0,0,0,1,0,0,1,-16,32,-7.78,-96.41
100,0,0,1,0,0,1,1,50,-40,48.96,-73.03
120,0,1,1,0,1,1,0,-53,-17,-5.37,-65.62
140,0,1,1,0,1,1,0,52,-100,-45.92,-45.26
160,1,0,1,0,0,0,1,-68,-44,-4.67,97.55
180,0,1,0,1,0,0,0,46,15,-52.98,15.66
200,1,0,0,0,1,0,1,87,-84,58.12,35.68
220,1,0,1,1,1,0,0,-45,3,-84.57,-25.61
240,0,1,0,0,0,0,1,-93,-59,-0.34,-6.73
260,1,1,0,1,0,1,1,32,21,14.53,-50.36
280,1,0,1,1,1,1,0,29,79,10.15,-98.04
300,1,0,0,0,1,1,1,-33,-89,6.16,-50.38
320,1,1,1,1,0,0,0,94,-62,-88.90,-20.22
340,1,1,0,0,0,1,1,-75,-56,-37.99,27.50
360,0,0,1,1,0,0,0,-60,-26,-12.31,-55.08
380,0,0,1,1,0,1,0,-18,87,77.91,63.23
400,0,0,0,1,0,1,0,-68,-7,25.62,3.50
420,0,0,0,0,0,1,1,42,-57,87.86,-49.26
440,1,1,0,0,0,1,0,-96,76,64.78,-89.47
460,0,1,0,0,0,0,0,-42,-88,-67.76,97.57
480,1,0,1,0,1,1,1,4,-4,-50.76,-11.42
500,1,1,0,0,0,0,0,43,-34,44.76,13.88
520,1,1,0,1,0,0,0,-68,-12,62.42,-1.88
540,1,1,0,1,0,0,0,-50,26,52.71,1.94
560,1,0,1,0,0,1,0,96,55,47.06,72.65
580,1,0,0,1,1,0,1,44,-10,17.89,-79.78
600,0,1,1,1,1,1,1,-4,79,-34.13,-62.64
620,1,0,1,1,0,1,0,-26,-87,-74.88,-98.48
640,1,1,1,1,0,1,0,-87,-37,-80.90,53.17
660,1,0,1,0,0,1,1,-66,-51,11.53,-52.68
680,0,0,0,1,0,0,0,-29,-4,-79.59,60.99
700,0,0,1,0,0,1,1,86,-95,-34.80,-43.05
720,0,0,0,0,1,0,0,-35,-24,-31.78,50.61
740,0,1,0,1,1,1,0,89,-21,17.74,79.80
760,0,0,1,1,1,0,0,-80,39,-38.79,49.39
780,0,0,0,1,1,1,1,-28,-78,98.95,44.70
800,1,1,0,0,1,0,0,24,86,0.22,-99.04
820,1,0,1,0,1,0,0,-14,13,-4.89,70.94
840,1,1,0,0,0,0,0,-39,52,2.42,-18.95
860,0,1,0,1,1,0,1,-68,60,98.69,75.43
880,0,0,1,1,1,0,0,7,-37,-2.16,96.22
900,1,1,1,0,1,1,1,29,22,-48.75,49.05
920,1,1,1,1,1,1,0,-67,-55,24.62,-38.01
940,0,0,1,0,0,1,0,27,26,17.19,-18.01
960,0,0,1,0,0,1,1,-21,-65,30.30,11.39
980,1,0,0,1,1,1,1,-89,37,-55.09,46.49
1000,0,1,1,0,0,1,1,-49,57,56.59,-90.56
1020,1,0,0,0,1,0,0,17,-79,25.38,51.69
1040,0,0,0,0,1,1,1,86,55,-40.00,-50.39
1060,0,0,0,1,0,1,0,-38,-32,-77.95,-5.39
1080,0,1,0,0,0,0,0,-67,-88,-86.11,-7.08
1100,0,1,0,1,0,0,0,63,15,69.31,68.60
1120,0,1,1,1,0,0,0,24,-52,21.97,-62.54
1140,1,0,0,0,1,1,1,-61,-19,-60.73,-58.54
1160,0,0,0,1,0,0,1,-79,-16,-68.88,18.39
1180,0,0,0,0,1,0,0,-85,-11,-64.26,51.93
1200,1,1,0,1,0,1,0,75,24,-72.32,-70.97
1220,1,1,0,1,1,1,1,4,1,77.34,-52.05
1240,1,0,0,1,0,0,1,-63,-24,-24.11,21.37
